word	frequency	class	source	confidence
норм	50000	SLANG	manual	1.0
нормас	8000	SLANG	manual	1.0
ок	100000	COLLOQUIAL	manual	1.0
окей	80000	COLLOQUIAL	manual	1.0
лол	40000	SLANG	manual	1.0
рофл	30000	SLANG	manual	1.0
кринж	50000	SLANG	manual	1.0
имба	30000	SLANG	manual	1.0
пруф	40000	SLANG	manual	1.0
репост	60000	TECH	manual	1.0
перс	30000	SLANG	manual	1.0
чел	60000	SLANG	manual	1.0
бро	50000	SLANG	manual	1.0
сорян	25000	SLANG	manual	1.0
плиз	25000	SLANG	manual	1.0
топ	70000	COLLOQUIAL	manual	1.0
топчик	25000	SLANG	manual	1.0
видос	30000	SLANG	manual	1.0
мем	70000	TECH	manual	1.0
мемас	12000	SLANG	manual	1.0
загуглить	18000	TECH	manual	1.0
гуглить	20000	TECH	manual	1.0
лайк	80000	TECH	manual	1.0
лайкнуть	25000	TECH	manual	1.0
дизлайк	20000	TECH	manual	1.0
стрим	60000	TECH	manual	1.0
стример	30000	TECH	manual	1.0
чатик	30000	TECH	manual	1.0
андрей	100000	NAME	OpenCorpora+manual	1.0
андрея	90000	NAME	OpenCorpora+manual	1.0
андрею	70000	NAME	OpenCorpora+manual	1.0
андреем	70000	NAME	OpenCorpora+manual	1.0
андрее	50000	NAME	OpenCorpora+manual	1.0
андреи	20000	NAME	OpenCorpora+manual	1.0
андреев	30000	NAME	OpenCorpora+manual	1.0
андреям	15000	NAME	OpenCorpora+manual	1.0
андреями	12000	NAME	OpenCorpora+manual	1.0
андреях	12000	NAME	OpenCorpora+manual	1.0
